"","x"
"682","EFCAB7"
"683","PGM1"
"684","ROR1"
"685","CACHD1"
"686","RAVER2"
"687","JAK1"
"688","LINC01359"
"689","AK4"
"690","DNAJC6"
"691","LEPROT"
"692","LEPR"
"693","PDE4B"
"694","SGIP1"
"695","TCTEX1D1"
"696","WDR78"
"697","MIER1"
"698","SLC35D1"
"699","IL12RB2"
"700","SERBP1"
"701","GADD45A"
"702","GNG12"
"703","DIRAS3"
"704","WLS"
"705","DEPDC1"
"706","LRRC7"
"707","LRRC40"
"708","SRSF11"
"709","ANKRD13C"
"710","HHLA3"
"711","CTH"
"712","AL354872.2"
"713","PTGER3"
"714","AL031429.2"
"715","ZRANB2"
"716","ZRANB2-AS2"
"717","NEGR1"
"718","LRRIQ3"
"719","FPGT"
"720","TNNI3K"
"721","ERICH3"
"722","AC135803.1"
"723","CRYZ"
"724","TYW3"
"725","SLC44A5"
"726","ACADM"
"727","RABGGTB"
"728","MSH4"
"729","ST6GALNAC3"
"730","PIGK"
"731","AK5"
"732","AC118549.1"
"733","USP33"
"734","MIGA1"
"735","NEXN"
"736","FUBP1"
"737","DNAJB4"
"738","GIPC2"
"739","AC103591.3"
"740","PTGFR"
"741","IFI44L"
"742","IFI44"
"743","ADGRL4"
"744","LINC01781"
"745","ADGRL2"
"746","LINC01725"
"747","TTLL7"
"748","AL359504.2"
"749","PRKACB"
"750","SAMD13"
"751","RPF1"
"752","GNG5"
"753","SPATA1"
"754","CTBS"
"755","AL359762.1"
"756","SSX2IP"
"757","MCOLN2"
"758","SYDE2"
"759","C1orf52"
"760","BCL10"
"761","DDAH1"
"762","AL360219.1"
"763","AC092807.3"
"764","AC092807.2"
"765","CCN1"
"766","ZNHIT6"
"767","COL24A1"
"768","LINC02795"
"769","ODF2L"
"770","AL049597.2"
"771","SH3GLB1"
"772","SELENOF"
"773","HS2ST1"
"774","LINC01140"
"775","LMO4"
"776","PKN2"
"777","GTF2B"
"778","KYAT3"
"779","RBMXL1"
"780","GBP3"
"781","GBP1"
"782","GBP2"
"783","GBP7"
"784","GBP4"
"785","AC099063.4"
"786","GBP5"
"787","LRRC8B"
"788","LRRC8C-DT"
"789","LRRC8C"
"790","AC099568.2"
"791","LRRC8D"
"792","ZNF326"
"793","LINC02609"
"794","ZNF644"
"795","HFM1"
"796","CDC7"
"797","TGFBR3"
"798","EPHX4"
"799","BTBD8"
"800","AC104836.1"
"801","GLMN"
"802","RPAP2"
"803","GFI1"
"804","EVI5"
"805","RPL5"
"806","DIPK1A"
"807","MTF2"
"808","TMED5"
"809","CCDC18"
"810","CCDC18-AS1"
"811","DR1"
"812","FNBP1L"
"813","BCAR3"
"814","DNTTIP2"
"815","GCLM"
"816","ABCA4"
"817","ARHGAP29"
"818","ABCD3"
"819","F3"
"820","SLC44A3"
"821","CNN3"
"822","AC105942.1"
"823","ALG14"
"824","TLCD4"
"825","RWDD3"
"826","AC092802.4"
"827","PTBP2"
"828","DPYD"
"829","SNX7"
"830","PLPPR4"
"831","PALMD"
"832","FRRS1"
"833","AGL"
"834","AC118553.1"
"835","SLC35A3"
"836","MFSD14A"
"837","SASS6"
"838","TRMT13"
"839","LRRC39"
"840","DBT"
"841","RTCA-AS1"
"842","RTCA"
"843","CDC14A"
"844","VCAM1"
"845","EXTL2"
"846","AC104506.1"
"847","SLC30A7"
"848","DPH5"
"849","AC093157.2"
"850","AC093157.1"
"851","S1PR1"
"852","COL11A1"
"853","RNPC3"
"854","AMY2B"
"855","PRMT6"
"856","VAV3"
"857","LINC02785"
"858","SLC25A24"
"859","AL359258.2"
"860","FAM102B"
"861","HENMT1"
"862","PRPF38B"
"863","STXBP3"
"864","GPSM2"
"865","CLCC1"
"866","WDR47"
"867","TAF13"
"868","AL356488.3"
"869","TMEM167B"
"870","AL356488.2"
"871","KIAA1324"
"872","SARS"
"873","CELSR2"
"874","PSRC1"
"875","SORT1"
"876","PSMA5"
"877","SYPL2"
"878","ATXN7L2"
"879","CYB561D1"
"880","AMIGO1"
"881","GNAI3"
"882","AMPD2"
"883","GSTM4"
"884","GSTM2"
"885","GSTM3"
"886","CSF1"
"887","AHCYL1"
"888","STRIP1"
"889","AL160006.1"
"890","SLC6A17"
"891","KCNC4"
"892","RBM15"
"893","LAMTOR5-AS1"
"894","SLC16A4"
"895","AL355488.1"
"896","LAMTOR5"
"897","AL365361.1"
"898","CD53"
"899","LRIF1"
"900","DRAM2"
"901","CEPT1"
"902","AL355816.2"
"903","DENND2D"
"904","CHI3L2"
"905","PIFO"
"906","OVGP1"
"907","AL390195.2"
"908","WDR77"
"909","ATP5PB"
"910","C1orf162"
"911","TMIGD3"
"912","ADORA3"
"913","RAP1A"
"914","INKA2"
"915","DDX20"
"916","KCND3"
"917","AL445426.1"
"918","CTTNBP2NL"
"919","WNT2B"
"920","ST7L"
"921","CAPZA1"
"922","MOV10"
"923","RHOC"
"924","PPM1J"
"925","LINC01357"
