"","x"
"1162","FASLG"
"1163","TNFSF18"
"1164","TNFSF4"
"1165","PRDX6"
"1166","ANKRD45"
"1167","KLHL20"
"1168","CENPL"
"1169","DARS2"
"1170","ZBTB37"
"1171","SERPINC1"
"1172","RC3H1"
"1173","RABGAP1L"
"1174","GPR52"
"1175","TNN"
"1176","KIAA0040"
"1177","TNR"
"1178","PAPPA2"
"1179","SEC16B"
"1180","RASAL2"
"1181","CLEC20A"
"1182","RALGPS2"
"1183","ANGPTL1"
"1184","FAM20B"
"1185","TOR3A"
"1186","ABL2"
"1187","SOAT1"
"1188","AXDND1"
"1189","FAM163A"
"1190","TOR1AIP2"
"1191","TOR1AIP1"
"1192","CEP350"
"1193","QSOX1"
"1194","LHX4"
"1195","ACBD6"
"1196","XPR1"
"1197","KIAA1614"
"1198","STX6"
"1199","MR1"
"1200","IER5"
"1201","CACNA1E"
"1202","GLUL"
"1203","RNASEL"
"1204","RGS16"
"1205","NPL"
"1206","DHX9"
"1207","LAMC1"
"1208","LAMC2"
"1209","NMNAT2"
"1210","SMG7"
"1211","NCF2"
"1212","ARPC5"
"1213","RGL1"
"1214","COLGALT2"
"1215","TSEN15"
"1216","C1orf21"
"1217","EDEM3"
"1218","NIBAN1"
"1219","RNF2"
"1220","TRMT1L"
"1221","SWT1"
"1222","IVNS1ABP"
"1223","HMCN1"
"1224","PRG4"
"1225","TPR"
"1226","ODR4"
"1227","OCLM"
"1228","PDC"
"1229","PTGS2"
"1230","PLA2G4A"
"1231","RGS18"
"1232","RGS1"
"1233","RGS13"
"1234","RGS2"
"1235","UCHL5"
"1236","RO60"
"1237","GLRX2"
"1238","CDC73"
"1239","B3GALT2"
"1240","KCNT2"
"1241","CFH"
"1242","CFHR3"
"1243","CFHR4"
"1244","ASPM"
"1245","ZBTB41"
"1246","CRB1"
"1247","DENND1B"
"1248","C1orf53"
"1249","NEK7"
"1250","ATP6V1G3"
"1251","PTPRC"
"1252","NR5A2"
"1253","ZNF281"
"1254","KIF14"
"1255","DDX59"
"1256","CAMSAP2"
"1257","GPR25"
"1258","INAVA"
"1259","KIF21B"
"1260","TMEM9"
"1261","IGFN1"
"1262","PKP1"
"1263","TNNT2"
"1264","LAD1"
"1265","PHLDA3"
"1266","NAV1"
"1267","IPO9"
"1268","SHISA4"
"1269","LMOD1"
"1270","TIMM17A"
"1271","RNPEP"
"1272","ELF3"
"1273","GPR37L1"
"1274","ARL8A"
"1275","PTPN7"
"1276","LGR6"
"1277","UBE2T"
"1278","PPP1R12B"
"1279","SYT2"
"1280","KDM5B"
"1281","RABIF"
"1282","KLHL12"
"1283","ADIPOR1"
"1284","CYB5R1"
"1285","TMEM183A"
"1286","ADORA1"
"1287","CHI3L1"
"1288","CHIT1"
"1289","BTG2"
"1290","FMOD"
"1291","PRELP"
"1292","ATP2B4"
"1293","LAX1"
"1294","SNRPE"
"1295","SOX13"
"1296","ETNK2"
"1297","GOLT1A"
"1298","PLEKHA6"
"1299","PPP1R15B"
"1300","PIK3C2B"
"1301","MDM4"
"1302","LRRN2"
"1303","NFASC"
"1304","TMEM81"
"1305","RBBP5"
"1306","DSTYK"
"1307","TMCC2"
"1308","NUAK2"
"1309","KLHDC8A"
"1310","LEMD1"
"1311","BLACAT1"
"1312","CDK18"
"1313","MFSD4A"
"1314","ELK4"
"1315","SLC45A3"
"1316","NUCKS1"
"1317","RAB29"
"1318","SLC41A1"
"1319","PM20D1"
"1320","RAB7B"
"1321","CTSE"
"1322","RHEX"
"1323","SRGAP2"
"1324","IKBKE"
"1325","RASSF5"
"1326","EIF2D"
"1327","DYRK3"
"1328","MAPKAPK2"
"1329","IL10"
"1330","IL24"
"1331","FCMR"
"1332","PIGR"
"1333","FCAMR"
"1334","C1orf116"
"1335","PFKFB2"
"1336","YOD1"
"1337","C4BPB"
"1338","CD55"
"1339","CR2"
"1340","CR1"
"1341","CR1L"
"1342","CD46"
"1343","CD34"
"1344","PLXNA2"
"1345","CAMK1G"
"1346","LAMB3"
"1347","G0S2"
"1348","HSD11B1"
"1349","TRAF3IP3"
"1350","C1orf74"
"1351","IRF6"
"1352","UTP25"
"1353","SERTAD4"
"1354","HHAT"
"1355","RCOR3"
"1356","TRAF5"
"1357","SLC30A1"
"1358","LPGAT1"
"1359","INTS7"
"1360","DTL"
"1361","PPP2R5A"
"1362","PACC1"
"1363","NENF"
"1364","ATF3"
"1365","BATF3"
"1366","NSL1"
"1367","TATDN3"
"1368","SPATA45"
"1369","FLVCR1"
"1370","VASH2"
